ID,Geburtsdatum,Alter,Geschlecht,Familienstand,HatKinder,Zahlmethode,DAUER_Kundenbeziehung,Region,Bundesland,Gebiet,Umsatz_Total,Umsatz_letztes_Quartal,Oekostrom,Fernwaermeabnehmer,Churn
1,1972-01-29,47,M,single,ja,Paypal,8,Sueddeutschland,Thueringen,Land,8746.71,280.386,1,1,Kuendiger
2,1949-07-21,70,F,,ja,Kreditkarte,8,Norddeutschland,Brandenburg,Stadt,8411.26,31.54,0,0,Kunde
3,1985-04-10,34,F,single,nein,Kreditkarte,3,Norddeutschland,Mecklenburg-Vorpommern,Stadt,1230.96,405.892,0,0,Kuendiger
4,1975-02-04,44,M,single,ja,Kreditkarte,,Norddeutschland,Hamburg,Land,396.854,529.904,0,0,Kuendiger
5,1978-08-17,47,M,,nein,Kreditkarte,3,Sueddeutschland,Thueringen,Land,8575.38,177.2998,1,0,Kunde
6,1976-04-21,45,F,,ja,Kreditkarte,11,Norddeutschland,Bremen,Land,8725.18,430.042,0,1,Kunde
7,1986-05-01,33,M,,ja,Ueberweisung,5,Norddeutschland,Nordrhein-Westfalen,Land,9288.59,546.634,0,0,Kuendiger
8,1966-01-18,53,M,,ja,Kreditkarte,5,Norddeutschland,Nordrhein-Westfalen,Stadt,904.957,56.32,0,0,Kunde
9,1966-02-08,57,M,,ja,Kreditkarte,11,Norddeutschland,Bremen,Stadt,2812.84,52.9658,0,0,Kuendiger
10,1970-02-02,61,M,verheiratet,ja,Kreditkarte,8,Norddeutschland,Thueringen,Land,8592.77,175.168,0,0,Kuendiger
11,1984-01-06,59,F,verheiratet,ja,Kreditkarte,11,Norddeutschland,Hamburg,Stadt,6945.46,22.6738,1,1,Kuendiger
12,1980-07-12,32,M,verheiratet,ja,Kreditkarte,5,Sueddeutschland,Baden-Wuerttemberg,Land,,356.934,1,1,Kunde
13,1969-02-21,67,F,verheiratet,nein,Kreditkarte,6,Norddeutschland,Bremen,Stadt,8776.52,56.32,0,0,Kunde
14,1982-08-24,42,F,single,nein,Paypal,7,Norddeutschland,Niedersachsen,Land,4977.62,169.8858,0,1,Kunde
15,1984-11-12,93,M,,ja,Ueberweisung,11,Norddeutschland,Hamburg,Stadt,2594.9,414.004,0,0,Kuendiger
16,1982-07-13,94,F,single,ja,Kreditkarte,11,Sueddeutschland,Rheinland-Pfalz,Land,3892.55,506.128,0,0,Kuendiger
17,1976-03-15,78,F,verheiratet,nein,Kreditkarte,5,Norddeutschland,Bremen,Stadt,8899.06,481.068,0,1,Kunde
18,1982-08-14,79,F,,nein,Kreditkarte,11,Sueddeutschland,Sachsen-Anhalt,Stadt,6198.56,174.256,0,0,Kuendiger
19,1960-01-18,29,M,,ja,Kreditkarte,5,Norddeutschland,Nordrhein-Westfalen,Land,2031.54,258.624,0,1,Kuendiger
20,1983-02-14,69,M,verheiratet,ja,Kreditkarte,10,Sueddeutschland,Bayern,Stadt,6411.36,493.114,0,1,Kuendiger
21,1960-09-19,90,F,single,nein,Ueberweisung,5,Norddeutschland,Schleswig-Holstein,Stadt,4141.68,103.8672,0,0,Kunde
22,1985-03-10,43,M,,ja,Kreditkarte,11,Sueddeutschland,Thueringen,Stadt,7729.3,227.108,0,0,Kuendiger
23,1953-03-22,93,F,,nein,Ueberweisung,5,Norddeutschland,Mecklenburg-Vorpommern,Stadt,5029.07,56.32,0,0,Kunde
24,1962-06-26,54,F,verheiratet,nein,Kreditkarte,10,Norddeutschland,Schleswig-Holstein,Stadt,2737.6,335.648,1,0,Kunde
25,1986-11-03,32,M,single,nein,Kreditkarte,3,Norddeutschland,Berlin,Stadt,510.857,581.342,0,0,Kuendiger
26,1974-03-14,61,M,verheiratet,nein,Kreditkarte,11,Norddeutschland,Mecklenburg-Vorpommern,Land,9513.27,239.484,0,0,Kuendiger
27,1983-04-06,52,M,single,nein,Paypal,3,Sueddeutschland,Bayern,Stadt,2494.3,124.0894,0,1,Kuendiger
28,1964-01-23,36,M,,nein,Ueberweisung,9,Sueddeutschland,Hessen,Stadt,9628.36,113.2632,0,0,Kuendiger
29,1981-09-12,42,F,single,nein,Paypal,3,Sueddeutschland,Thueringen,Stadt,1819.97,497.848,0,0,Kunde
30,1984-02-19,26,M,,nein,Ueberweisung,3,Norddeutschland,Hamburg,Stadt,5226.63,56.32,0,0,Kuendiger
31,1974-01-23,86,F,,nein,Kreditkarte,11,Norddeutschland,Schleswig-Holstein,Land,,56.32,0,0,Kunde
32,1981-03-13,62,F,verheiratet,ja,Kreditkarte,10,Sueddeutschland,Baden-Wuerttemberg,Land,6331.46,220.556,0,0,Kunde
33,1969-01-28,44,M,verheiratet,ja,Paypal,4,Sueddeutschland,Saarland,Land,5743.05,318.362,0,0,Kuendiger
34,1981-08-17,94,F,,ja,Paypal,11,Norddeutschland,Hamburg,Stadt,7899.41,56.32,0,0,Kunde
35,1985-08-02,29,M,verheiratet,ja,Kreditkarte,9,Sueddeutschland,Sachsen-Anhalt,Stadt,7303.29,233.704,1,0,Kuendiger
36,1974-10-04,62,M,,ja,Ueberweisung,10,Norddeutschland,Brandenburg,Stadt,4905.94,485.748,0,0,Kuendiger
37,1982-04-22,95,M,,nein,Paypal,3,Sueddeutschland,Saarland,Land,9285.53,56.32,0,0,Kuendiger
38,1980-06-17,67,M,verheiratet,ja,Kreditkarte,11,Norddeutschland,Nordrhein-Westfalen,Stadt,3716.89,574.94,0,0,Kuendiger
39,2003-08-23,82,F,verheiratet,nein,Ueberweisung,9,Norddeutschland,Nordrhein-Westfalen,Stadt,9587.77,56.32,0,0,Kunde
40,1981-03-13,58,M,,ja,Kreditkarte,8,Norddeutschland,Nordrhein-Westfalen,Stadt,141.458,53.6882,0,0,Kuendiger
41,1980-09-18,49,M,single,nein,Kreditkarte,11,Sueddeutschland,Bayern,Stadt,6238.14,532.29,0,0,Kuendiger
42,1984-01-13,81,M,single,ja,Kreditkarte,3,Sueddeutschland,Rheinland-Pfalz,Stadt,1566.93,56.32,0,1,Kuendiger
43,1985-06-10,48,M,single,nein,Paypal,5,Sueddeutschland,Sachsen,Stadt,2473.78,483.62,0,0,Kuendiger
44,1958-07-28,21,F,single,ja,Kreditkarte,10,Norddeutschland,Niedersachsen,Stadt,7313.88,306.698,0,1,Kunde
45,1960-11-13,88,F,,ja,Kreditkarte,10,Norddeutschland,Mecklenburg-Vorpommern,Stadt,3697.02,56.32,0,0,Kunde
46,1958-04-23,48,M,verheiratet,ja,Kreditkarte,11,Sueddeutschland,Saarland,Land,8738.18,457.044,0,0,Kunde
47,1967-06-02,87,F,verheiratet,ja,Kreditkarte,11,Norddeutschland,Hamburg,Stadt,2174.49,56.32,0,1,Kunde
48,1978-09-11,122,M,verheiratet,ja,Kreditkarte,3,Norddeutschland,Bremen,Land,2107.92,274.486,0,1,Kuendiger
49,1980-02-04,54,F,verheiratet,ja,Ueberweisung,11,Norddeutschland,Niedersachsen,Stadt,6123.17,26.4304,0,0,Kunde
50,1982-07-03,37,M,single,ja,Kreditkarte,9,Norddeutschland,Berlin,Stadt,4323.55,326.496,0,0,Kuendiger
51,1963-11-07,58,F,verheiratet,ja,Kreditkarte,3,Norddeutschland,Nordrhein-Westfalen,Stadt,2959.71,355.908,0,0,Kunde
52,1974-04-16,60,F,single,nein,Paypal,10,Norddeutschland,Berlin,Stadt,2138.09,450.564,0,0,Kunde
53,2003-08-23,43,M,,nein,Kreditkarte,3,Sueddeutschland,Saarland,Land,8520.51,56.32,0,1,Kunde
54,1980-06-20,22,M,verheiratet,ja,Kreditkarte,10,Norddeutschland,Schleswig-Holstein,Land,1543.43,56.32,0,1,Kunde
55,1982-04-11,55,M,,ja,Paypal,11,Norddeutschland,Berlin,Stadt,2852.8,416.068,0,1,Kuendiger
56,1963-11-07,78,M,,ja,Kreditkarte,3,Norddeutschland,Hamburg,Land,5486.46,146.901,0,0,Kunde
57,1963-11-07,74,M,,ja,Kreditkarte,11,Norddeutschland,Mecklenburg-Vorpommern,Stadt,6001.51,148.6234,0,0,Kunde
58,1981-05-02,55,M,verheiratet,ja,Ueberweisung,5,Sueddeutschland,Hessen,Stadt,5029.07,329.474,0,0,Kuendiger
